t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
4.9554,0.016815,-0.138086,0.138086,-0.090505,0.092039
4.9731,0.017755,-0.152478,0.152478,-0.102777,0.104311
4.9899,0.016753,-0.166201,0.166201,-0.121184,0.121184
5.0066,0.016772,-0.179991,0.179991,-0.121184,0.121184
5.0234,0.016760,-0.193738,0.193738,-0.141126,0.136524
5.0402,0.016757,-0.207362,0.207362,-0.150330,0.147262
5.0570,0.016812,-0.220825,0.220825,-0.164136,0.161068
5.0738,0.016797,-0.233987,0.233987,-0.191748,0.187146
5.0906,0.016878,-0.246837,0.246837,-0.191748,0.187146
5.1074,0.016763,-0.259146,0.259146,-0.202485,0.202485
5.1244,0.017000,-0.271091,0.271091,-0.216291,0.211689
5.1412,0.016780,-0.282274,0.282274,-0.231631,0.228563
5.1579,0.016754,-0.292768,0.292768,-0.242369,0.240835
5.1748,0.016872,-0.302591,0.302591,-0.257709,0.257709
5.1916,0.016759,-0.311547,0.311547,-0.257709,0.257709
5.2083,0.016756,-0.319648,0.319648,-0.277651,0.276117
5.2251,0.016749,-0.326842,0.326842,-0.283786,0.286854
5.2420,0.016947,-0.333156,0.333156,-0.297592,0.299126
5.2588,0.016758,-0.338405,0.338405,-0.317534,0.319068
5.2755,0.016757,-0.342632,0.342632,-0.326738,0.326738
5.2923,0.016753,-0.345811,0.345811,-0.326738,0.326738
5.3091,0.016764,-0.347925,0.347925,-0.337476,0.331340
5.3259,0.016887,-0.348960,0.348960,-0.339010,0.339010
5.3427,0.016767,-0.348896,0.348896,-0.339010,0.339010
5.3595,0.016763,-0.347744,0.347744,-0.349748,0.345146
5.3762,0.016765,-0.345511,0.345511,-0.352816,0.349748
5.3930,0.016754,-0.342215,0.342215,-0.352816,0.349748
5.4098,0.016767,-0.337870,0.337870,-0.346680,0.343612
5.4265,0.016767,-0.332506,0.332506,-0.351282,0.348214
5.4439,0.017415,-0.325891,0.325891,-0.349748,0.346680
5.4607,0.016773,-0.318556,0.318556,-0.337476,0.335942
5.4777,0.016957,-0.310228,0.310228,-0.337476,0.337476
5.4944,0.016759,-0.301145,0.301145,-0.337476,0.337476
5.5112,0.016752,-0.291277,0.291277,-0.329806,0.329806
5.5279,0.016755,-0.280681,0.280681,-0.319068,0.319068
5.5447,0.016759,-0.269420,0.269420,-0.317534,0.316000
5.5615,0.016765,-0.257563,0.257563,-0.300660,0.300660
5.5782,0.016767,-0.245187,0.245187,-0.286854,0.285320
5.5950,0.016795,-0.232348,0.232348,-0.286854,0.285320
5.6118,0.016752,-0.219182,0.219182,-0.277651,0.276117
5.6285,0.016760,-0.205731,0.205731,-0.262311,0.263845
5.6453,0.016751,-0.192092,0.192092,-0.254641,0.253107
5.6622,0.016906,-0.178217,0.178217,-0.234699,0.234699
5.6789,0.016763,-0.164436,0.164436,-0.214757,0.213223
5.6957,0.016768,-0.150714,0.150714,-0.214757,0.213223
5.7125,0.016747,-0.137158,0.137158,-0.205553,0.204019
5.7292,0.016755,-0.123828,0.123828,-0.185612,0.190214
5.7460,0.016752,-0.110815,0.110815,-0.170272,0.173340
5.7628,0.016808,-0.098159,0.098159,-0.161068,0.151864
5.7798,0.016991,-0.085852,0.085852,-0.161068,0.151864
5.7965,0.016764,-0.074265,0.074265,-0.134990,0.130388
5.8133,0.016754,-0.063310,0.063310,-0.121184,0.119651
5.8300,0.016759,-0.053046,0.053046,-0.111981,0.111981
5.8472,0.017150,-0.043326,0.043326,-0.093573,0.093573
5.8642,0.016956,-0.034558,0.034558,-0.081301,0.079767
5.8809,0.016750,-0.026773,0.026773,-0.065961,0.064427
5.8977,0.016762,-0.019904,0.019904,-0.065961,0.064427
5.9144,0.016751,-0.014003,0.014003,-0.047553,0.047553
5.9312,0.016754,-0.009101,0.009101,-0.046019,0.044485
5.9482,0.017003,-0.005179,0.005179,-0.032214,0.032214
5.9649,0.016765,-0.002377,0.002377,-0.019942,0.019942
5.9817,0.016764,-0.000648,0.000648,-0.019942,0.019942
5.9985,0.016759,-0.000005,0.000005,-0.016874,0.016874
6.0152,0.016750,-0.000448,0.000448,-0.003068,0.001534
6.0320,0.016759,-0.001977,0.001977,-0.006136,0.004602
